outer_fold,inner_fold,hp_name,batch_size,learning_rate,weight_decay,pam_dropout,pam_temperature,distill_alpha,distill_beta,name,epoch,train_loss,val_loss,val_auc,val_aucpr,val_acc,val_cindex,teacher_loss,student_survival_loss,student_repr_loss,student_feature_loss,smil_meta_train_loss,smil_meta_val_loss,smil_meta_val_ce,smil_align_fusion,smil_align_hidden,seed,degrading_modality,train_missing_prop
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,1,0.708562970161438,0.6453899145126343,0.8666666666666667,0.9060405643738978,0.8571428571428571,0.0,0.6938206808907645,0.688781201839447,0.05634011168565069,0.11393475426094872,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,2,0.6647586907659259,0.6474132239818573,0.8666666666666667,0.9060405643738978,0.7857142857142857,0.0,0.6434739913259234,0.6467195664133344,0.049902837191309245,0.11126811323421341,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,3,0.6851493375641959,0.6420425176620483,0.8666666666666667,0.9060405643738978,0.7857142857142857,0.0,0.634501039981842,0.6689344644546509,0.046492865309119225,0.0918331364435809,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,4,0.6568433812686375,0.6429696977138519,0.8444444444444444,0.8969496552829888,0.7857142857142857,0.0,0.6041503548622131,0.6405861037118095,0.043299303257039616,0.10864892442311559,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,5,0.6487563167299543,0.6404102444648743,0.8222222222222222,0.8870731120731121,0.7857142857142857,0.0,0.5871607150350299,0.6284430963652474,0.052637379084314616,0.14307733359081404,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,6,0.6293759686606271,0.6402129530906677,0.8444444444444444,0.9092953342953345,0.7142857142857143,0.0,0.5845075164522443,0.6118512664522443,0.048291511833667755,0.10903643231306757,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,7,0.6102625557354519,0.6412708759307861,0.8,0.8909171075837745,0.7142857142857143,0.0,0.5858811565807888,0.5965940952301025,0.04128206468054226,0.06695869032825742,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.6107388309070042,0.6392212212085724,0.7555555555555555,0.8741943241943244,0.7142857142857143,0.0,0.5404029914311,0.5935517379215786,0.05022136281643595,0.09263510509793248,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,9,0.6183046954018729,0.6334646940231323,0.7555555555555555,0.8741943241943244,0.7142857142857143,0.0,0.5400914549827576,0.5973279391016278,0.059148818786655157,0.12379096235547747,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,10,0.6136780977249146,0.6362584829330444,0.7555555555555555,0.8741943241943244,0.7142857142857143,0.0,0.5484741670744759,0.5937197463853019,0.0500503523009164,0.14891540152685984,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,11,0.602569077696119,0.6405316591262817,0.7555555555555555,0.8741943241943244,0.7142857142857143,0.0,0.5579315807138171,0.5831625291279384,0.0570213608443737,0.10302408997501646,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,12,0.5896371603012085,0.6323157548904419,0.7777777777777778,0.8828362995029664,0.7142857142857143,0.0,0.5528069649423871,0.5703681451933724,0.05243163662297385,0.12322220844881875,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,13,0.607389143535069,0.6107593476772308,0.8444444444444444,0.9170113836780505,0.7142857142857143,0.0,0.5511700170380729,0.5851154582841056,0.062364326523883004,0.13365213626197406,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,14,0.5948036653654916,0.6139863729476929,0.7555555555555555,0.8882105548772217,0.7142857142857143,0.0,0.5272504602159772,0.5703034230640956,0.06896541214415006,0.14517777519566671,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,15,0.5712927920477731,0.6271275281906128,0.711111111111111,0.8610500610500613,0.7142857142857143,0.0,0.5247140952519008,0.5499751482691083,0.06056808094893183,0.12351278109209878,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,16,0.5813747474125454,0.634238064289093,0.7333333333333333,0.867784067784068,0.7142857142857143,0.0,0.5284546656267983,0.5570435949734279,0.06503363539065633,0.16145494048084533,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,17,0.5593233278819493,0.6509201526641846,0.6888888888888889,0.8491452991452992,0.6428571428571429,0.0,0.5136981308460236,0.5390553006104061,0.056917299915637286,0.12077407538890839,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,18,0.5660664907523564,0.6275749206542969,0.7333333333333333,0.8795685795685797,0.6428571428571429,0.0,0.4996666354792459,0.5407188321862902,0.07761067684207644,0.118900080876691,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,19,0.591374967779432,0.6142188310623169,0.7777777777777778,0.8990130240130241,0.7142857142857143,0.0,0.5175245872565678,0.5656950899532863,0.07087146437593869,0.15924006727124965,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,20,0.5790493743760246,0.6318813860416412,0.7555555555555555,0.8804945054945057,0.7142857142857143,0.0,0.5513979750020164,0.5607133848326546,0.050714338198304176,0.11314831620880536,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,21,0.5706414239747184,0.6367540061473846,0.7333333333333333,0.8696920363587033,0.7142857142857143,0.0,0.5187868561063494,0.5487717006887708,0.06311196301664625,0.12183468895299095,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,22,0.5554776958056858,0.6365470290184021,0.7333333333333333,0.8696920363587033,0.7142857142857143,0.0,0.49788810099874226,0.5319704583712986,0.06889312235372407,0.12567940567220962,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,23,0.5546033680438995,0.6298209130764008,0.7333333333333333,0.8696920363587033,0.6428571428571429,0.0,0.4878414826733725,0.5292231951441083,0.06956402851002556,0.1597833942089762,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,24,0.5746438503265381,0.6300177276134491,0.7333333333333333,0.8696920363587033,0.6428571428571429,0.0,0.5094122631209237,0.5502405422074454,0.068702047424657,0.14455602105174745,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,25,0.5317789699350085,0.6279330849647522,0.711111111111111,0.8641975308641978,0.7142857142857143,0.0,0.4825807682105473,0.511820103440966,0.060652107532535283,0.09591662777321679,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,26,0.5691489321844918,0.6302093267440796,0.711111111111111,0.8641975308641978,0.6428571428571429,0.0,0.5231042504310608,0.5479836804526192,0.06269847229123116,0.10981261144791331,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,27,0.5684673530714852,0.6216479241847992,0.7333333333333333,0.8827160493827162,0.6428571428571429,0.0,0.5121659636497498,0.5444330487932477,0.06726917464818273,0.1443400861961501,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,28,0.5790798238345555,0.6159031987190247,0.7555555555555555,0.8882105548772217,0.6428571428571429,0.0,0.5054755636623928,0.5539709627628326,0.07131841113524777,0.14558517187833786,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,29,0.5534833329064506,0.6138973534107208,0.7333333333333333,0.8696920363587033,0.7142857142857143,0.0,0.47521661860602243,0.5247601866722107,0.07587848550507001,0.19507079997232982,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,30,0.5536031893321446,0.6197918057441711,0.7333333333333333,0.8696920363587033,0.6428571428571429,0.0,0.4946379917008536,0.5335828576769147,0.05850264642919813,0.10789300714220319,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,31,0.5585262094225202,0.6173193454742432,0.7333333333333333,0.8696920363587033,0.7142857142857143,0.0,0.48732919352395193,0.533429673739842,0.07026580827576774,0.1506014567400728,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,32,0.5670478301388877,0.6113572120666504,0.7555555555555555,0.8882105548772217,0.7142857142857143,0.0,0.4875319983278002,0.5345374473503658,0.0928308516740799,0.1860531089561326,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,1.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp1p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,33,0.5775380219732013,0.6189143061637878,0.7555555555555555,0.8882105548772217,0.6428571428571429,0.0,0.5172823539802006,0.5453065378325326,0.09287595748901367,0.18024963991982595,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,2.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,1,0.7187253151621137,0.6416074931621552,0.6888888888888889,0.8250000000000002,0.7142857142857143,0.0,0.7219789709363665,0.7001670002937317,0.043858597321169715,0.1518734491297177,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,2.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,2,0.6600067956107003,0.6430604457855225,0.7111111111111111,0.8527777777777779,0.7142857142857143,0.0,0.631180499281202,0.643324477331979,0.0424734822341374,0.12127906882337161,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,2.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,3,0.6352266243525914,0.6443768739700317,0.7333333333333334,0.887820512820513,0.7142857142857143,0.0,0.6535973634038653,0.6154005612645831,0.04875812546483108,0.15273073901023185,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,2.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,4,0.5925911494663784,0.6208527684211731,0.7555555555555556,0.8935185185185186,0.7142857142857143,0.0,0.6160244601113456,0.5697453532900129,0.05792439728975296,0.1672939003578254,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,2.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,5,0.5900641594614301,0.6015186309814453,0.7555555555555555,0.898589065255732,0.6428571428571429,0.0,0.5975779976163592,0.5659876636096409,0.06217410122709615,0.1706592749272074,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,2.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,6,0.5822027666228158,0.614619106054306,0.7555555555555556,0.8935185185185186,0.7142857142857143,0.0,0.5797742690358844,0.5629481758390155,0.05232241164360728,0.12347975719187941,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,2.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,7,0.580540120601654,0.634897768497467,0.7333333333333333,0.8827160493827162,0.7142857142857143,0.0,0.5865784798349652,0.5594640970230103,0.052400656044483185,0.1595170460641384,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,2.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.5525242686271667,0.6181271374225616,0.7333333333333333,0.877545294211961,0.6428571428571429,0.0,0.5845756190163749,0.5321365680013385,0.05607840897781508,0.12736195591943605,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,2.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,9,0.5490731980119433,0.6173580288887024,0.711111111111111,0.8708112874779543,0.5714285714285714,0.0,0.5592798846108573,0.5287353566714695,0.0532008313706943,0.14075283546532905,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,2.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,10,0.5303608689989362,0.6367729008197784,0.7333333333333333,0.877545294211961,0.5714285714285714,0.0,0.5721290792737689,0.5092489719390869,0.056944411514060836,0.13751568006617682,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,2.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,11,0.5458334301199231,0.6306089758872986,0.6888888888888889,0.8621693121693124,0.6428571428571429,0.0,0.600175108228411,0.5213382840156555,0.05835482983716896,0.19812864703791483,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,2.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,12,0.5556650715214866,0.6078939735889435,0.7333333333333333,0.8827160493827162,0.6428571428571429,0.0,0.5638846840177264,0.5358822856630597,0.05288719119770186,0.13121960258909635,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,2.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,13,0.5594800199781146,0.5966599881649017,0.7555555555555555,0.8894500561167229,0.7142857142857143,0.0,0.5709477918488639,0.5400659441947937,0.05154193751513958,0.1305718868970871,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,2.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,14,0.5229247212409973,0.5952980220317841,0.7333333333333333,0.8827160493827162,0.7142857142857143,0.0,0.5423345182623182,0.5028367255415235,0.056392702140978405,0.11979629631553378,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,2.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,15,0.5304834842681885,0.5928450226783752,0.7777777777777779,0.9002525252525253,0.6428571428571429,0.0,0.5441745179040092,0.509458235331944,0.061234978692872186,0.11433025449514389,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,2.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,16,0.5628639076437268,0.5944840013980865,0.7555555555555555,0.8894500561167229,0.6428571428571429,0.0,0.5488071952547345,0.5421933276312692,0.05680686022554125,0.1293772134397711,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,2.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,17,0.53458029457501,0.595753937959671,0.7555555555555555,0.8894500561167229,0.6428571428571429,0.0,0.5392358090196337,0.5152253125395093,0.05523153021931648,0.11094211041927338,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
1,1,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,8,0.0001,0.0001,0.2,2.0,0.25,0.05,lr1e-04_bs8_drop0p2_temp2p0_a0p25_b0p05__wd1e-04trmiss0_degmodglobal,18,0.532662068094526,0.5999056398868561,0.7777777777777779,0.9002525252525253,0.6428571428571429,0.0,0.5477418303489685,0.5139914623328617,0.049636351210730414,0.12523045018315315,0.0,0.0,0.0,0.0,0.0,18473,global,0.0
